Question Number,Area,Question,Detailed Answer,Status
1,MVP filter scope,Which filters are included in the MVP?,"All currently documented portal filters are in MVP scope. This includes Individual filters such as Eligibility, OTM Registered, Investor Type, Investor Subtype, Current Holding, Systematic Investments, Investor Activity, name search, sorting, and pagination. It also includes the documented Non-Individual filters: default list, OTM yes/no, Active/Dormant, CGF, Minor, CGF + Minor, Others, and name search.",Confirmed
2,Investor tab scope,Is the Pending investor tab included?,"No. Pending investors are explicitly out of scope for the current chatbot MVP. The chatbot should support only Individual and Non-Individual investor search flows.",Confirmed
3,Conversation flow,"If the user says something generic like ""show investors"", should the chatbot default to Individual?","No. The chatbot should ask a clarification question first: whether the distributor wants Individual investors or Non-Individual investors. This avoids silently running the wrong query family.",Confirmed
4,Individual query execution,For Individual investors should we call the existing PostgreSQL function or rebuild equivalent SQL in the app?,"Call the existing PostgreSQL function filter_dp_investor_menu() directly. The application should map natural language into the function's parameter contract instead of recreating the function's SQL logic in backend code.",Confirmed
5,Non-Individual combinations,For Non-Individual filter combinations should we create a new combined query/function?,"No. Keep the current documented behavior. For combinations, run the existing separate query patterns and intersect the result sets as described in the reference CSV. Do not change the database behavior for MVP.",Confirmed
6,Active/Dormant boundary,How should exactly 180 days since last transaction be classified?,"Treat exactly 180 days as Active. The effective business interpretation should be Active = last transaction within 180 days, including day 180. Dormant should start after that boundary, so this avoids classifying the same investor as both Active and Dormant.",Confirmed
7,OTM validity,"For OTM, should the cease date condition use < CURRENT_DATE or > CURRENT_DATE?","Use the current SQL behavior with cease_dt is null OR cease_dt < CURRENT_DATE. For MVP, this condition is accepted as the source-of-truth behavior even if it looks counterintuitive from a generic mandate-validity perspective.",Confirmed
8,Name search scope,"Should chatbot search use full name, PAN, folio, mobile, or email?","No. Keep search scope exactly as current behavior for now. The chatbot should only support first-name search through the existing first-name ILIKE condition/function parameter.",Confirmed
9,PII display,"Should PAN, mobile, and email be masked in chatbot results?","No masking is required for MVP. PAN, mobile, and email are allowed to be returned/displayed for now, matching the distributor portal's current behavior and access assumptions.",Confirmed
10,Master data source,"Where should scheme, category, plan, and option values come from?","These values should come from the PostgreSQL database, not from a separate portal API call. The chatbot/backend should read master data from approved DB tables/views and use that to populate or validate filters such as scheme, category, plan type, and investment option.",Confirmed
11,Option mapping,"Do Z, N, and Y map to Growth, IDCW Payout, and IDCW Reinvest?","Not confirmed yet. Treat this mapping as an open item. The implementation should verify the option-code mapping from the database, existing portal code, or client confirmation before relying on it in production.",Open
12,Duration support,Should natural language support flexible date expressions like last quarter or past 90 days?,"No. For MVP, only the existing UI duration values are supported: 1 month, 2 months, 3 months, 6 months, 1 year, 2 years, 3 years, and this financial year.",Confirmed
13,Response behavior,Should the chatbot explain interpreted filters before running the query?,"No. For MVP, the chatbot should return only the result set. It does not need to show a pre-run confirmation, interpreted filter explanation, or SQL explanation unless this is added later.",Confirmed
14,LLM deployment boundary,Can the natural-language query be sent to an LLM?,"Yes. The user's natural-language query can be sent to an LLM. The architecture still needs guardrails around read-only execution, distributor scoping, safe SQL construction, parameterization, and audit logging.",Confirmed
15,Schema visibility,Can the LLM see schema and table names?,"Yes. The LLM is allowed to see schema and table names. The recommended implementation should still make the LLM produce a structured intent/query plan, while the backend validates and executes only approved function calls or approved SQL templates.",Confirmed
