Natural Language Query,Filter Being Applied,Parameter That Changes,Full Function Call,What Changes vs Default
Show me my investors / List all investors / Pull up investor list / Show all investors,No filter,All parameters are null or ALL,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null),(null),(null),null,'first_name','ASC','25',0,'Y')",This is the default call. No filters applied. Returns all investors for that ARN.
Show eligible investors / Who has email registered / Show investors with email,Eligibility = YES,eligibility param changes from ALL to YES,"select * from filter_dp_investor_menu('ARN-XXXX','YES','ALL','ALL',ARRAY[]::TEXT[],(null),(null),(null),null,'first_name','ASC','25',0,'Y')",Second parameter changes from ALL to YES. Only investors with an email in customer_master are returned.
Show investors without email / Who is not eligible / Investors missing contact details,Eligibility = NO,eligibility param changes from ALL to NO,"select * from filter_dp_investor_menu('ARN-XXXX','NO','ALL','ALL',ARRAY[]::TEXT[],(null),(null),(null),null,'first_name','ASC','25',0,'Y')",Second parameter changes from ALL to NO. Only investors without an email are returned.
Show investors with OTM / Who has mandate set up / Who has auto debit enabled / OTM registered investors,OTM = YES,otm param changes from ALL to Y,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','Y','ALL',ARRAY[]::TEXT[],(null),(null),(null),null,'first_name','ASC','25',0,'Y')","Third parameter changes from ALL to Y. Function checks multiple_bank table for valid OTM - om_umrn not null, cease_dt null or future, paymech supports OTM."
Show investors without OTM / Who has no mandate / Who hasn't registered OTM / No auto debit,OTM = NOT_AVAILABLE,otm param changes from ALL to NOT_AVAILABLE,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','NOT_AVAILABLE','ALL',ARRAY[]::TEXT[],(null),(null),(null),null,'first_name','ASC','25',0,'Y')",Third parameter changes from ALL to NOT_AVAILABLE. Returns investors who do not have a valid OTM.
Show active investors / Who transacted recently / Investors active in last 6 months / Who has been investing,Investor Type = ACTIVE,investortype param changes from ALL to ACTIVE,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ACTIVE',ARRAY[]::TEXT[],(null),(null),(null),null,'first_name','ASC','25',0,'Y')",Fourth parameter changes from ALL to ACTIVE. Checks customer_schemes for last transaction date within 180 days.
Show dormant investors / Who hasn't transacted in a while / Inactive investors / No recent activity,Investor Type = DORMANT,investortype param changes from ALL to DORMANT,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','DORMANT',ARRAY[]::TEXT[],(null),(null),(null),null,'first_name','ASC','25',0,'Y')",Fourth parameter changes from ALL to DORMANT. Checks customer_schemes for last transaction date 180 or more days ago.
Show CGF investors / Which investors hold CGF schemes,Investor Subtype = CGF,investorsubtype array gets CGF added,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY['CGF']::TEXT[],(null),(null),(null),null,'first_name','ASC','25',0,'Y')",Fifth parameter changes from empty array to ARRAY['CGF']. Checks scheme_setup for cgf_flag = C and plan_type not D.
Show minor investors / Investors who are minors / Minor accounts,Investor Subtype = MINOR,investorsubtype array gets MINOR added,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY['MINOR']::TEXT[],(null),(null),(null),null,'first_name','ASC','25',0,'Y')",Fifth parameter changes to ARRAY['MINOR']. Checks tax_status table for minor_flag = Y.
Show others / Non CGF non minor investors,Investor Subtype = OTHERS,investorsubtype array gets OTHERS added,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY['OTHERS']::TEXT[],(null),(null),(null),null,'first_name','ASC','25',0,'Y')",Fifth parameter changes to ARRAY['OTHERS']. Returns investors who are neither CGF nor Minor.
